replicate,seed,success,cost,nfev,Kcool_times_Kp,Kcool_times_Ki,independent_validation_rmse_C,C_th_J_K,K_cool_W_K,K_node_W_K,Kp_1_K,Ki_1_Ks,heat_a0_W,heat_a1_W_A,heat_a2_W_A2
95,20300810,True,51011.5608008959,36,3.8486784248650845,0.07566741472000743,0.3205488884130594,6789.960143764343,39.338706031342845,10.940980049432234,0.09783439297161112,0.0019234850953084206,7.610440494310129,15.521034019804825,0.6680338623721152
96,20300811,True,50221.242782218374,15,3.554252934373571,0.0743688748022728,0.32533568505612526,6726.540107145438,38.32684091182718,11.188080284975916,0.09273534812196778,0.00194038624193844,5.425922957655297,15.340625688991112,0.6656755841361108
97,20300812,True,64748.69470379061,16,3.5542775974053935,0.07436958490944906,0.32533329092213653,6726.537151544633,38.326983838467555,11.188076649842996,0.09273564578901405,0.0019403975335728534,5.425922092424725,15.34062116315558,0.6656752940309907
98,20300813,True,48943.70985188983,24,3.5461807818764464,0.07421987592673628,0.32798763086973887,6723.411073020716,38.281479887104865,11.164795250706675,0.09263437025774385,0.0019387932792989354,6.101604135572007,15.443954805184203,0.6710859589877071
99,20300814,True,57583.70706325156,25,3.5498248606948986,0.07424583732045431,0.32794373022234313,6724.529601934842,38.29561503936006,11.160291995673138,0.09269533488485313,0.0019387555793044394,6.075918669322623,15.444772007792968,0.6713784354257767
100,20300815,True,48526.36172597228,27,3.5586436834285764,0.07437758700240817,0.3273664023892316,6723.018691239363,38.33995284672624,11.15951295075392,0.09281815493240599,0.0019399498820395417,6.102764115953479,15.442463914230462,0.6709480667930937
101,20300816,True,66511.20678270662,39,3.592186077634112,0.08734593079108696,0.3043449334399176,7116.854786121905,39.1985524261163,10.229012127320992,0.09164078404183093,0.0022282948064401517,10.159049019105439,16.11088820272752,0.708324792549105
102,20300817,True,67407.54905015137,28,5.088549731264283,0.0723949910471503,0.3368611434752048,6440.8642152443,45.54394290094905,10.968771347572636,0.1117283530398561,0.001589563538769537,7.163837192469232,16.01271402485695,0.6949085016308195
103,20300818,True,57433.907635489646,27,4.198847497115656,0.07830802488283108,0.3161162092236272,7454.973338733344,40.74610519586959,10.867097932950822,0.10304905160705496,0.0019218530091747055,4.523088222706576,18.291803030451106,0.5903461551689174
104,20300819,True,69910.74917522448,24,5.236858450215848,0.0913863401223079,0.38110777879297797,7263.971654038157,45.566791389440205,10.372913879281372,0.11492708374962418,0.0020055469638243185,0.0008380532015245332,9.744974504651957,1.5453216984469078
