time_s,three_node_mean_C,five_node_mean_C,three_node_hotspot_C,five_node_hotspot_C,five_node_energy_residual_W
134.0,55.01188547110292,55.00510241341957,55.22775846813812,55.24232614460739,4.851230528402084e-12
135.0,55.00856775105061,55.001793652438934,55.22998307846074,55.24380341028331,-2.877698079828406e-13
136.0,55.00523921429899,54.99847402909084,55.23213776671259,55.24520975997421,5.9330318435968366e-12
137.0,55.002043499757214,54.9952871815898,55.23436595803732,55.246688715203945,3.6415315207705135e-13
138.0,54.99897773956147,54.992230242936635,55.23666573341484,55.248238450232215,-6.716405209772347e-12
139.0,54.996039080329716,54.98930036060754,55.23903517842178,55.249857140369755,-3.9328540424321545e-12
140.0,54.99312022229649,54.98639023568694,55.24136792213685,55.25143850101097,-1.2434497875801753e-14
141.0,54.99030177355858,54.98358047598835,55.24374464893241,55.25306330125415,-1.7070789226636407e-12
142.0,54.98750109517806,54.980788443162716,55.24608344840833,55.25464971341567,-4.195754854663392e-12
143.0,54.98476336216285,54.97805931193814,55.24842956925816,55.25624306739148,1.5081269566508126e-12
144.0,54.98200749614626,54.97531200415567,55.250702372590204,55.25776280420999,-7.430500659211248e-12
145.0,54.97934957265013,54.97266259469261,55.253017728991956,55.2593248735555,-4.531486297310039e-12
146.0,54.976797148014356,54.97011864048566,55.25538392036323,55.26093763537217,-8.100187187665142e-12
147.0,54.97431734757382,54.96764726756392,55.25776886779579,55.26256908616157,-7.267075829986425e-12
148.0,54.97196100466987,54.96529930963409,55.26022394742471,55.26427067502879,-3.021582983819826e-12
149.0,54.96967788151821,54.96302452982958,55.26269987804217,55.26599319149627,-5.567102334680385e-12
150.0,54.967509201069085,54.96086415150869,55.26523844943015,55.267778493303474,2.035704937952687e-12
151.0,54.96531318342546,54.95867639562503,55.25464721129085,55.25643419608519,-1.9539925233402755e-13
152.0,54.96314745184281,54.95651888480671,55.24416428162745,55.245241275732084,-2.9238833576528123e-12
153.0,54.96110069987108,54.954480312588814,55.233877908364796,55.23428634019603,4.973799150320701e-12
154.0,54.9591697224729,54.95255747486207,55.22378364929555,55.22356337388924,-2.0801138589376933e-12
155.0,54.95723380914213,54.95062966202663,55.2137595757467,55.21294894135902,1.7079671010833408e-12
156.0,54.95541224011753,54.94881615398624,55.203924812141885,55.20256072379676,2.1094237467877974e-12
157.0,54.9537018215324,54.94711375779322,55.19427495292588,55.192392929859764,1.8918200339612667e-12
158.0,54.952010701725875,54.94543062268458,55.18471695411101,55.18235118819724,5.622169396701793e-13
159.0,54.95039936348024,54.94382723140235,55.17531090939213,55.172494320682546,-6.45261621912141e-12
160.0,54.94877721943906,54.94221299717901,55.16596530804331,55.1627295957228,-4.068745340646274e-12
161.0,54.94721645537259,54.94066010544778,55.156752205077886,55.15312789738122,6.0893512454640586e-12
162.0,54.94562024419873,54.93907172953293,55.14757400959717,55.14359050970379,1.0480505352461478e-13
163.0,54.94399139066072,54.937450673586326,55.13843360940089,55.134119240538624,-3.810285420513537e-13
164.0,54.9424497326934,54.935916774987604,55.129450905296366,55.12483295164575,1.2239098623467726e-12
165.0,54.94090629747857,54.93438106159505,55.12053594121817,55.115640687966575,2.5863755581667647e-12
166.0,54.939474231847534,54.932956680020176,55.11180165310589,55.106654426822544,3.1654678878112463e-12
167.0,54.93815015971621,54.931640255131605,55.103243466541606,55.09786867281195,4.441780276920326e-12
168.0,54.93693075630813,54.930428463089314,55.09485687943785,55.089278041303444,-3.624656130796211e-12
169.0,54.935798698436194,54.92930398162478,55.086623412210564,55.08086320692337,-3.019806626980426e-13
170.0,54.93466239158635,54.92817521697134,55.07845045706356,55.072530751093936,7.281286684701627e-12
171.0,54.933561559847966,54.92708189304142,55.07037751508905,55.06431939650167,-1.928235349168972e-12
172.0,54.932417908078634,54.92594571491518,55.062325725323795,55.0561495333731,5.171862937913829e-12
173.0,54.93134868379635,54.92488392954865,55.05441244702327,55.04813780052137,-2.638778084929072e-12
174.0,54.93037918926376,54.923921839842286,55.04666208426791,55.04030790842268,-1.9184653865522705e-12
175.0,54.9294582414586,54.923008263677346,55.03902233203699,55.03260688659925,2.629896300732071e-12
176.0,54.928490597241534,54.922047958299416,55.03139726021575,55.024938166422515,6.52278231427772e-12
177.0,54.92757704759049,54.921141714118356,55.02388779212288,55.017402056657154,7.434941551309748e-12
178.0,54.92675990773477,54.920331846822364,55.016535512803515,55.01003955005698,1.3722356584366935e-13
179.0,54.92600440720465,54.91958358683693,55.00930455433959,55.002814209973785,-5.1381121579652245e-12
180.0,54.92519840410312,54.91878479280798,55.00208196947955,54.99561254342273,-2.1942447858691594e-12
181.0,54.92442627927139,54.91801984500022,54.99495229301819,54.98851855979855,4.672262576832509e-12
182.0,54.92374732854546,54.9173480395299,54.98797425763818,54.98159048475052,6.7981176243847585e-12
183.0,54.923041758783874,54.91664958412758,54.981026997966794,54.97470696553139,-1.9539925233402755e-13
184.0,54.92238756486026,54.91600247335064,54.97418845511121,54.96794547461533,-4.373834627813267e-12
185.0,54.92174708895974,54.91536904984815,54.96742025538833,54.96126718631521,-7.23421322845752e-12
186.0,54.92119657405875,54.91482555669853,54.960798244677015,54.95474751147515,1.9984014443252818e-13
187.0,54.92061756104081,54.91425353564349,54.954202917447304,54.94826652585352,6.277200981230635e-12
188.0,54.92010189055123,54.91374482701919,54.94772607062377,54.941915623608494,1.944666649933424e-12
189.0,54.919579937141144,54.91322980597853,54.94129725843629,54.93661705873337,2.9896085607106215e-12
190.0,54.91907101017326,54.912727781798594,54.934935557822264,54.932827423749124,-3.446132268436486e-13
191.0,54.91860639410057,54.91227003904404,54.928671859586295,54.92910922033096,4.689582056016661e-13
192.0,54.918227097243495,54.91189758646872,54.92254651402026,54.92550341537634,-1.2503331703328513e-12
193.0,54.91789742510073,54.91157473041818,54.92284625903849,54.92197408103374,-1.4230838729645257e-12
194.0,54.917564512296785,54.9112486060129,54.92809948145317,54.91846825006207,4.571898415406395e-13
195.0,54.9172299453108,54.91092079970741,54.93330090842418,54.922768767960356,7.91300358571334e-12
196.0,54.91694284284756,54.91064043020394,54.938499921726255,54.92780845739689,-3.735678433258727e-12
197.0,54.916619116481534,54.910323409552554,54.943613107893924,54.93275333185125,9.035439063609374e-12
198.0,54.916335375187806,54.91004634638391,54.948717045417624,54.937680250398046,8.126832540256146e-12
199.0,54.91605660207791,54.90977422421702,54.953777325878114,54.942555078471045,-4.817257703848554e-12
200.0,54.91585762162663,54.90958186760275,54.95886908985362,54.94745322014237,-4.711675494206702e-12
201.0,54.91573536682491,54.90946621035181,54.963990213017105,54.95237280748197,2.840283563898538e-12
202.0,54.915570907196546,54.909308322773356,54.9690226874436,54.95719607880984,-1.0712541964608135e-12
203.0,54.91548199419808,54.90922595595905,54.974084196159005,54.96204095152864,2.7417373926752475e-12
204.0,54.9154656447941,54.90921612766724,54.97917266708248,54.96690558398945,-1.8510748489575235e-12
205.0,54.9156186302914,54.909375609994626,54.98438576269884,54.97188786006676,4.967637412534032e-12
206.0,54.91572591710635,54.90948937108512,54.9895101536719,54.97677466511134,-2.1843638009499955e-12
207.0,54.91582406390946,54.90959396924611,54.994582322673665,54.98160268131091,6.715517031352647e-12
208.0,54.916127723132966,54.909904056929484,54.99981714436749,54.98658697870991,3.199884801574626e-12
209.0,54.91654495297937,54.91032769445742,55.00512468378854,54.991637816597596,-9.241496456979803e-13
210.0,54.917013440003295,54.91080256962355,55.01044388677753,54.99669432213815,-9.08162434143378e-13
211.0,54.91753073327911,54.91132623214609,55.015773052268464,55.0017549659599,-7.748024444254042e-12
212.0,54.918094441408094,54.91189629125343,55.021110520906994,55.00681825394493,-2.4225066397320916e-12
213.0,54.918702232012826,54.91251041517883,55.026454674804974,55.011882727265444,-5.0603965462414635e-12
214.0,54.9192596643191,54.91307416373003,55.03171177038457,55.01685479548522,3.580691299021055e-12
215.0,54.91983787782031,54.913658676073325,55.03695286402446,55.021805660294994,1.4499512701604544e-12
216.0,54.92057292889433,54.91440000896482,55.04231451036659,55.02687202038349,-1.4264145420384011e-12
217.0,54.9213431304087,54.91517647696717,55.04767664488812,55.0319339539423,-2.3172574969976267e-12
218.0,54.92207049792628,54.91591009616428,55.05296191337694,55.03691423843802,9.186429394958395e-12
219.0,54.92289296825567,54.916738803147396,55.05830824025068,55.04195092332368,-5.715428130770306e-13
220.0,54.92364432177853,54.91749637939692,55.06355052414023,55.046879033322135,2.5299762285158067e-12
221.0,54.924427662565506,54.91828592849062,55.06879162486659,55.0518015440188,-4.700684286262913e-12
222.0,54.92524106268352,54.91910552299347,55.07403020949947,55.056717239506135,-4.626077299008102e-12
223.0,54.92608264757248,54.91995328882895,55.0792649833003,55.06162493795967,-3.439470930288735e-12
224.0,54.92695059539589,54.92082740462968,55.08449468933483,55.06652349143074,-4.082512106151626e-12
225.0,54.92784313637703,54.92172610107396,55.08971810807167,55.07141178561739,-1.3180567748349858e-12
226.0,54.92880201602997,54.922691124122025,55.09497752087567,55.07633220352784,4.413358567489922e-12
227.0,54.92985277806961,54.9237480183456,55.100299349363794,55.08131126629146,-1.5791812302268227e-12
228.0,54.93082507626563,54.924726438608616,55.10551433833032,55.086179814658536,2.575717417130363e-13
229.0,54.931905612975356,54.92581308674988,55.11080889391663,55.09112434063986,-3.5198510772715963e-12
230.0,54.932911769216595,54.9268253450393,55.11600161703127,55.095963536428435,6.432188115468307e-12
231.0,54.93396860752751,54.927888275533874,55.121217306544814,55.100822281269735,1.4566126083082054e-12
232.0,54.934972959874436,54.92889871090141,55.12635354171413,55.105598238483886,8.209433133288258e-12
233.0,54.93609188480119,54.93002370941771,55.13157728958923,55.11045845231295,-4.53770354624794e-12
234.0,54.937220741266465,54.93115863136222,55.13678517127173,55.11529962589663,3.0180302701410255e-12
235.0,54.9382504007986,54.932194348583245,55.141868477232634,55.120013123236646,-1.9984014443252818e-13
236.0,54.939288932528996,54.93323892949426,55.14693480634173,55.1247066107325,3.2578384434600594e-12
237.0,54.940335132771416,54.93429117071268,55.151983351021464,55.129379352762975,-7.576161920042068e-12
238.0,54.9413878400829,54.935349911088075,55.15701333468682,55.13403064257686,-1.8074430840897548e-12
