time_s,current_A,true_T1_C,EKF_T1_C,true_T2_C,EKF_T2_C,true_T3_C,EKF_T3_C,true_T4_C,EKF_T4_C,true_T5_C,EKF_T5_C,true_hotspot_C,EKF_hotspot_C
1006.0,23.47509561667396,55.37378752993549,55.039928229358694,55.261651612658966,55.15721598072229,55.1256791242795,54.89079468736413,54.989706636175455,54.874971729062295,54.87757071934458,54.457779674666234,55.37378752993549,55.15721598072229
1007.0,23.397125970070153,55.34625922791302,55.00976956120553,55.244303475824275,55.141952089052296,55.1177490297229,54.8841923347756,54.99119458389107,54.876593575124275,54.889238832238476,54.473101779028426,55.34625922791302,55.141952089052296
1008.0,23.31654364367161,55.31883937407481,54.97333725883479,55.2268706673442,55.110857443658574,55.109696159277206,54.87387173528504,54.99252165147401,54.879180531721495,54.900552945170254,54.48873185212915,55.31883937407481,55.110857443658574
1009.0,23.236911469787874,55.29152490678096,54.9413692048284,55.20935454613782,55.089768077892735,55.10151920314706,54.86137730739454,54.993683860414485,54.863750934933684,54.911513500189116,54.49643802093588,55.29152490678096,55.089768077892735
1010.0,23.16169245093839,55.264326805759644,54.90242900077496,55.191770342078215,55.05233000688907,55.09323082021874,54.85069393113912,54.99469129861194,54.8731151859096,54.922134835339385,54.51404929277056,55.264326805759644,55.05233000688907
1011.0,23.08466079147615,55.23726909362955,54.858780400059395,55.17414620676204,55.00330150212283,55.08485672849036,54.83557547071124,54.99556725046596,54.876686819364714,54.93244436399861,54.52930029817329,55.23726909362955,55.00330150212283
1012.0,23.00968751316612,55.21035076492442,54.82703741754943,55.15648518817019,54.98430491480651,55.0763977166947,54.830874819257545,54.996310245461224,54.89388348205583,54.942444669098634,54.5493620085539,55.21035076492442,54.98430491480651
1013.0,22.933487670315355,55.1835858700085,54.795608616403605,55.138805243004846,54.965088678538095,55.0678695760782,54.8237792624151,54.99693390938842,54.90107359144255,54.95215328276807,54.565232878462055,55.1835858700085,54.965088678538095
1014.0,22.854024115877678,55.15697524365921,54.76504234320801,55.121111016563944,54.947078218308086,55.05927492306372,54.81514946919558,54.997438829795314,54.90074224350282,54.961574603075206,54.577770745589,55.15697524365921,54.947078218308086
1015.0,22.77195274779456,55.130511873142055,54.7405062333924,55.10339917549761,54.942823863088734,55.05060848825189,54.80819928477446,54.99781780123306,54.893662418336795,54.970705103955794,54.5869596026735,55.130511873142055,54.942823863088734
1016.0,22.68803784642361,55.10419160363066,54.71709304425873,55.085669094300734,54.93996786095717,55.04186777548005,54.80023405689214,54.99806645688143,54.88096372134576,54.979543947910884,54.593380106448464,55.10419160363066,54.93996786095717
1017.0,22.60496559990575,55.07801343718154,54.68960970149435,55.06792316772174,54.92717906708887,55.03305337947529,54.79590805468545,54.9981835914462,54.8930562949788,54.98809332233813,54.60967634597044,55.07801343718154,54.92717906708887
1018.0,22.52367952509766,55.051986773776626,54.6639274782034,55.050174065903626,54.918527970620744,55.02417624732458,54.7953815747782,54.998178428958276,54.915910609654816,54.99636572142954,54.63020046861508,55.051986773776626,54.918527970620744
1019.0,22.443833314374437,55.02612428009687,54.63141325569494,55.032437638800616,54.8905281103485,55.01525061136757,54.779649287343744,54.99806358414275,54.895207383958535,55.00437694318345,54.63318158297719,55.032437638800616,54.895207383958535
1020.0,22.367719587620307,55.00043680260026,54.59809613082642,55.014727843189725,54.86148022995504,55.00628892342037,54.77006988844067,54.99785000385483,54.901882992654,55.0121410447741,54.646898287877676,55.014727843189725,54.901882992654
1021.0,22.292275325042045,54.97494351924342,54.5730606829612,54.99706689293265,54.85201211140862,54.99731199707524,54.7634567949789,54.99755710141732,54.901237719417544,55.01968047542937,54.6571079262648,55.01968047542937,54.901237719417544
1022.0,22.21366231451768,54.949651130540154,54.53977407605514,54.979464478718874,54.82192400411788,54.988328250041526,54.753751833797494,54.997192021559435,54.90836181581923,55.02700537005412,54.67063220719419,55.02700537005412,54.90836181581923
1023.0,22.136448321915914,54.92455142270348,54.50665951615206,54.96191529782881,54.79226028449331,54.979331194443134,54.74504358520094,54.99674709124857,54.919339866159945,55.03411096668317,54.68561353250982,55.03411096668317,54.919339866159945
1024.0,22.061669173470975,54.89965389877796,54.49497101204453,54.944431644727416,54.81399448534198,54.97033198051622,54.746507662060786,54.99623231649209,54.92024629960289,55.04101006274426,54.695455916567184,55.04101006274426,54.92024629960289
1025.0,21.98425898657713,54.87497159813393,54.47082652676503,54.927029286463856,54.802998964017384,54.96134532199433,54.73753222822896,54.99566135770791,54.90989046521653,55.047719046334144,54.70099979211841,55.047719046334144,54.90989046521653
1026.0,21.90743937325695,54.850497770562626,54.43466671727483,54.90970415054733,54.76195049458993,54.95236619235953,54.720919556487075,54.995028234350954,54.898763604933336,55.0542346146257,54.70640009592294,55.0542346146257,54.898763604933336
1027.0,21.828397920405934,54.82623813206598,54.40335499572391,54.892464525855324,54.73244857278468,54.943401965327666,54.70462311568406,54.99433940497544,54.87872306074511,55.060565799048696,54.70758465593656,55.060565799048696,54.87872306074511
1028.0,21.745477261811597,54.80218748939001,54.38676991141519,54.87530772687713,54.73948954052228,54.934449113392596,54.70298598540858,54.99359050007978,54.88281567113843,55.06671073784482,54.71758503769674,55.06671073784482,54.88281567113843
1029.0,21.65876211270941,54.77833456922343,54.36290179716918,54.858224894083484,54.72709465213802,54.925497974176324,54.694861041448306,54.99277105443726,54.87883848189996,55.072661379569354,54.72444522666132,55.072661379569354,54.87883848189996
