config_id,fan_weight,hotspot_weight,gradient_weight,dwell,switch_weight,maximum_duty_step,duty_move_weight,controller,maximum_hotspot_C,maximum_hotspot_excess_C,hotspot_excess_rmse_C,gradient_rmse_C,fan_energy_proxy_duty2_h,direction_switch_count,mean_temperature_tracking_rmse_C,maximum_energy_residual_W,reference_unattainable_at_saturation_fraction,energy_relative_difference_percent,within_5pct_equal_energy
637,10.0,1.0,0.5,10.0,4.0,0.05,0.8,Hotspot-MPC,58.65228309648369,3.6522830964836928,1.1417887237390179,0.8217409436165393,0.005402777777777779,12,0.9251159968928307,1.0800249583553523e-12,0.0,12.805629232717752,False
638,10.0,1.0,0.5,10.0,10.0,0.05,0.8,Hotspot-MPC,59.05088138390645,4.05088138390645,1.1874436853856603,1.3727975274600226,0.005180555555555556,6,1.0418591242472384,1.0551559626037488e-12,0.0,8.165809007207493,False
639,10.0,1.0,0.5,10.0,30.0,0.05,0.8,Hotspot-MPC,57.50115786915742,2.5011578691574172,0.6322330189139886,2.1641307675654606,0.005409722222222225,1,0.8018979570741683,1.0551559626037488e-12,0.0,12.950623614764979,False
640,10.0,1.0,0.5,30.0,1.0,0.05,0.8,Hotspot-MPC,59.487326488584664,4.487326488584664,1.4031694111221547,0.7010392094738176,0.005486111111111112,21,1.1762819385493326,1.2505552149377763e-12,0.0,14.545561817284081,False
641,10.0,1.0,0.5,30.0,4.0,0.05,0.8,Hotspot-MPC,58.65228309648369,3.6522830964836928,1.1417887237390179,0.8217409436165393,0.005402777777777779,12,0.9251159968928307,1.0800249583553523e-12,0.0,12.805629232717752,False
642,10.0,1.0,0.5,30.0,10.0,0.05,0.8,Hotspot-MPC,59.05088138390645,4.05088138390645,1.1874436853856603,1.3727975274600226,0.005180555555555556,6,1.0418591242472384,1.0551559626037488e-12,0.0,8.165809007207493,False
643,10.0,1.0,0.5,30.0,30.0,0.05,0.8,Hotspot-MPC,57.50115786915742,2.5011578691574172,0.6322330189139886,2.1641307675654606,0.005409722222222225,1,0.8018979570741683,1.0551559626037488e-12,0.0,12.950623614764979,False
644,10.0,1.0,0.5,60.0,1.0,0.05,0.8,Hotspot-MPC,58.80425112334051,3.8042511233405065,1.2515942311543482,0.7517959415003905,0.005506944444444445,16,1.035300102377862,9.663381206337363e-13,0.0,14.980544963425668,False
645,10.0,1.0,0.5,60.0,4.0,0.05,0.8,Hotspot-MPC,58.89072451909235,3.890724519092352,1.2092046902891198,0.8291935187108875,0.005451388888888889,12,0.9958643465548145,1.0800249583553523e-12,0.0,13.82058990704811,False
646,10.0,1.0,0.5,60.0,10.0,0.05,0.8,Hotspot-MPC,59.05088138390645,4.05088138390645,1.1874436853856603,1.3727975274600226,0.005180555555555556,6,1.0418591242472384,1.0551559626037488e-12,0.0,8.165809007207493,False
