scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,hotspot_position_accuracy,maximum_absolute_error_C,q95_absolute_error_C
cooling_minus_15pct,3,"3,4,5",0.45517003082166396,0.30412767089913756,0.05498720878973386,0.05155816677892947,0.055630150333421335,0.24837469616808294,0.35880450623264304,0.6469608659450458,0.9285928316588254,0.5765334643688632
cooling_minus_15pct,3,"1,2,3",0.05799849212450257,0.05170714984489716,0.05478980175651614,0.3066544187536175,0.4567000765317226,0.24966027687860845,0.360391088966316,0.6486261448792673,0.8985611861221159,0.5866086106001362
load_preview_minus_10pct,1,3,0.2962314275533443,0.1906971775589552,0.051643446641725085,0.20289637028379295,0.31656221303258125,0.23158760311152413,0.17948832528072411,0.2581182348043297,0.5911914465460484,0.49175706807816794
load_preview_minus_10pct,1,4,0.5514061931023241,0.4586345336612022,0.2757638282971578,0.05570943634199687,0.11051523110559004,0.34806817489083813,0.19514420975449556,0.38800999167360534,0.9906520328831547,0.808227605710347
load_preview_minus_10pct,1,2,0.10298108121271232,0.060775051799126095,0.2887485109344809,0.47925798972493044,0.577251108630687,0.36347805317689946,0.21190501334390374,0.3913405495420483,1.0015940657624185,0.8137986005601533
load_preview_minus_10pct,1,5,0.7413451704548907,0.6703707693040242,0.5261557823133196,0.3086896642511534,0.05668006069799606,0.5242769259565063,0.24240871447073833,0.5728559533721899,1.2954179933251737,1.1457818573514573
load_preview_minus_10pct,1,1,0.05810918367075643,0.31240011672589224,0.5410757271464113,0.6946914650559785,0.7717192235292596,0.5425643269236331,0.25063484046804346,0.5403830141548709,1.2907863380207516,1.1472333623653612
load_preview_minus_10pct,2,"1,5",0.05689577181271587,0.19189717641414472,0.2515889904089788,0.19600551118794202,0.05542175934175271,0.1702048219560638,0.056941465008503375,0.9308909242298085,0.538716705966074,0.3675232440373677
load_preview_minus_10pct,2,"2,5",0.13219439981165543,0.059498678165372326,0.1435916994834619,0.14907412268530412,0.05490800363177799,0.11564775062469623,0.07712425355118603,0.6652789342214821,0.5851169274087908,0.24911409860448974
load_preview_minus_10pct,2,"1,4",0.05639663265495868,0.14186861770961393,0.1373966370926024,0.05425810756102717,0.13603322500559878,0.11281320959137638,0.0815184456854884,0.6361365528726062,0.3679174857989196,0.2493985441736797
