curve,duty_ratio_percent,data_value
corotation_mass_flow_kg_s,12.43131868131868,7.652173913043478e-05
corotation_mass_flow_kg_s,12.5,7.690821256038644e-05
corotation_mass_flow_kg_s,12.56868131868132,7.690821256038644e-05
corotation_mass_flow_kg_s,12.637362637362637,7.690821256038644e-05
corotation_mass_flow_kg_s,12.706043956043956,7.690821256038644e-05
corotation_mass_flow_kg_s,12.774725274725276,7.690821256038644e-05
corotation_mass_flow_kg_s,12.843406593406593,7.690821256038644e-05
corotation_mass_flow_kg_s,12.912087912087912,7.690821256038644e-05
corotation_mass_flow_kg_s,12.98076923076923,7.690821256038644e-05
corotation_mass_flow_kg_s,13.04945054945055,7.690821256038644e-05
corotation_mass_flow_kg_s,13.118131868131869,7.729468599033815e-05
corotation_mass_flow_kg_s,13.186813186813186,7.690821256038644e-05
corotation_mass_flow_kg_s,13.255494505494505,7.690821256038644e-05
corotation_mass_flow_kg_s,13.324175824175825,7.724315619967793e-05
corotation_mass_flow_kg_s,13.392857142857142,7.757809983896942e-05
corotation_mass_flow_kg_s,13.461538461538462,7.79130434782609e-05
corotation_mass_flow_kg_s,13.530219780219781,7.824798711755234e-05
corotation_mass_flow_kg_s,13.598901098901099,7.858293075684383e-05
corotation_mass_flow_kg_s,13.667582417582418,7.891787439613527e-05
corotation_mass_flow_kg_s,13.736263736263735,7.925281803542676e-05
corotation_mass_flow_kg_s,13.804945054945055,7.958776167471819e-05
corotation_mass_flow_kg_s,13.873626373626374,7.992270531400968e-05
corotation_mass_flow_kg_s,13.942307692307692,8.025764895330112e-05
corotation_mass_flow_kg_s,14.010989010989011,8.059259259259261e-05
corotation_mass_flow_kg_s,14.07967032967033,8.092753623188404e-05
corotation_mass_flow_kg_s,14.148351648351648,8.126247987117548e-05
corotation_mass_flow_kg_s,14.217032967032967,8.159742351046697e-05
corotation_mass_flow_kg_s,14.285714285714286,8.193236714975846e-05
corotation_mass_flow_kg_s,14.354395604395604,8.193236714975846e-05
corotation_mass_flow_kg_s,14.423076923076923,8.193236714975846e-05
corotation_mass_flow_kg_s,14.491758241758241,8.193236714975846e-05
corotation_mass_flow_kg_s,14.56043956043956,8.231884057971012e-05
corotation_mass_flow_kg_s,14.62912087912088,8.309178743961355e-05
corotation_mass_flow_kg_s,14.697802197802197,8.309178743961355e-05
corotation_mass_flow_kg_s,14.766483516483516,8.309178743961355e-05
corotation_mass_flow_kg_s,14.835164835164836,8.270531400966183e-05
corotation_mass_flow_kg_s,14.903846153846153,8.309178743961355e-05
corotation_mass_flow_kg_s,14.972527472527473,8.347826086956521e-05
corotation_mass_flow_kg_s,15.041208791208792,8.347826086956521e-05
corotation_mass_flow_kg_s,15.10989010989011,8.347826086956521e-05
corotation_mass_flow_kg_s,15.178571428571429,8.347826086956521e-05
corotation_mass_flow_kg_s,15.247252747252746,8.386473429951692e-05
corotation_mass_flow_kg_s,15.315934065934066,8.386473429951692e-05
corotation_mass_flow_kg_s,15.384615384615385,8.425120772946859e-05
corotation_mass_flow_kg_s,15.453296703296703,8.386473429951692e-05
corotation_mass_flow_kg_s,15.521978021978022,8.386473429951692e-05
corotation_mass_flow_kg_s,15.590659340659341,8.386473429951692e-05
corotation_mass_flow_kg_s,15.659340659340659,8.386473429951692e-05
corotation_mass_flow_kg_s,15.728021978021978,8.46376811594203e-05
corotation_mass_flow_kg_s,15.796703296703297,8.425120772946859e-05
corotation_mass_flow_kg_s,15.865384615384615,8.46376811594203e-05
corotation_mass_flow_kg_s,15.934065934065934,8.46376811594203e-05
corotation_mass_flow_kg_s,16.002747252747252,8.46376811594203e-05
corotation_mass_flow_kg_s,16.071428571428573,8.46376811594203e-05
corotation_mass_flow_kg_s,16.14010989010989,8.496313246885334e-05
corotation_mass_flow_kg_s,16.208791208791208,8.528858377828628e-05
corotation_mass_flow_kg_s,16.27747252747253,8.561403508771927e-05
corotation_mass_flow_kg_s,16.346153846153847,8.593948639715231e-05
corotation_mass_flow_kg_s,16.414835164835164,8.62649377065853e-05
corotation_mass_flow_kg_s,16.483516483516482,8.659038901601834e-05
corotation_mass_flow_kg_s,16.552197802197803,8.691584032545133e-05
corotation_mass_flow_kg_s,16.62087912087912,8.724129163488432e-05
corotation_mass_flow_kg_s,16.689560439560438,8.756674294431731e-05
corotation_mass_flow_kg_s,16.75824175824176,8.78921942537503e-05
corotation_mass_flow_kg_s,16.826923076923077,8.821764556318334e-05
corotation_mass_flow_kg_s,16.895604395604394,8.854309687261633e-05
corotation_mass_flow_kg_s,16.964285714285715,8.886854818204932e-05
corotation_mass_flow_kg_s,17.032967032967033,8.919399949148236e-05
corotation_mass_flow_kg_s,17.10164835164835,8.951945080091535e-05
corotation_mass_flow_kg_s,17.17032967032967,8.984490211034834e-05
corotation_mass_flow_kg_s,17.23901098901099,9.017035341978133e-05
corotation_mass_flow_kg_s,17.307692307692307,9.049580472921432e-05
corotation_mass_flow_kg_s,17.376373626373628,9.082125603864736e-05
corotation_mass_flow_kg_s,17.445054945054945,9.082125603864736e-05
corotation_mass_flow_kg_s,17.513736263736263,9.082125603864736e-05
corotation_mass_flow_kg_s,17.582417582417584,9.082125603864736e-05
corotation_mass_flow_kg_s,17.6510989010989,9.082125603864736e-05
corotation_mass_flow_kg_s,17.71978021978022,9.082125603864736e-05
corotation_mass_flow_kg_s,17.78846153846154,9.082125603864736e-05
corotation_mass_flow_kg_s,17.857142857142858,9.082125603864736e-05
corotation_mass_flow_kg_s,17.925824175824175,9.043478260869564e-05
corotation_mass_flow_kg_s,17.994505494505493,9.004830917874393e-05
corotation_mass_flow_kg_s,18.063186813186814,8.966183574879227e-05
corotation_mass_flow_kg_s,18.13186813186813,9.236714975845411e-05
corotation_mass_flow_kg_s,18.20054945054945,9.120772946859907e-05
corotation_mass_flow_kg_s,18.26923076923077,9.120772946859907e-05
corotation_mass_flow_kg_s,18.337912087912088,9.159420289855068e-05
corotation_mass_flow_kg_s,18.406593406593405,9.120772946859907e-05
corotation_mass_flow_kg_s,18.475274725274726,9.236714975845411e-05
corotation_mass_flow_kg_s,18.543956043956044,9.159420289855068e-05
corotation_mass_flow_kg_s,18.61263736263736,9.159420289855068e-05
corotation_mass_flow_kg_s,18.681318681318682,9.159420289855068e-05
corotation_mass_flow_kg_s,18.75,9.19806763285024e-05
corotation_mass_flow_kg_s,18.818681318681318,9.19806763285024e-05
corotation_mass_flow_kg_s,18.88736263736264,9.275362318840583e-05
