velocity_m_s,flow_coordinate_inlet_0_outlet_1,temperature_K,direct_pixel_count,palette_uncertainty_K
5.0,0.4921875,329.67131327953047,675,1.5
5.0,0.49609375,329.67131327953047,674,1.5
5.0,0.5,329.67131327953047,674,1.5
5.0,0.50390625,329.67131327953047,679,1.5
5.0,0.5078125,329.67131327953047,676,1.5
5.0,0.51171875,330.1129860601614,677,1.5
5.0,0.515625,330.1129860601614,681,1.5
5.0,0.51953125,330.23917828319884,683,1.5
5.0,0.5234375,330.23917828319884,685,1.5
5.0,0.52734375,330.23917828319884,687,1.5
5.0,0.53125,330.23917828319884,687,1.5
5.0,0.53515625,330.8070432868672,686,1.5
5.0,0.5390625,330.8070432868672,689,1.5
5.0,0.54296875,330.8070432868672,690,1.5
5.0,0.546875,330.8070432868672,692,1.5
5.0,0.55078125,330.8070432868672,692,1.5
5.0,0.5546875,330.8070432868672,693,1.5
5.0,0.55859375,330.8070432868672,696,1.5
5.0,0.5625,330.85436537050623,698,1.5
5.0,0.56640625,331.69038884812915,699,1.5
5.0,0.5703125,331.8165810711665,702,1.5
5.0,0.57421875,331.8165810711665,705,1.5
5.0,0.578125,332.03741746148205,708,1.5
5.0,0.58203125,332.1320616287601,710,1.5
5.0,0.5859375,332.1320616287601,714,1.5
5.0,0.58984375,332.1320616287601,714,1.5
5.0,0.59375,332.1320616287601,713,1.5
5.0,0.59765625,332.2582538517975,711,1.5
5.0,0.6015625,332.2582538517975,714,1.5
5.0,0.60546875,332.2582538517975,710,1.5
5.0,0.609375,332.2582538517975,711,1.5
5.0,0.61328125,332.2582538517975,716,1.5
5.0,0.6171875,332.6052824651504,716,1.5
5.0,0.62109375,332.6052824651504,718,1.5
5.0,0.625,332.6052824651504,719,1.5
5.0,0.62890625,332.6052824651504,721,1.5
5.0,0.6328125,332.6052824651504,725,1.5
5.0,0.63671875,332.6052824651504,729,1.5
5.0,0.640625,332.6052824651504,732,1.5
5.0,0.64453125,332.6052824651504,735,1.5
5.0,0.6484375,332.6052824651504,737,1.5
5.0,0.65234375,332.6052824651504,734,1.5
5.0,0.65625,332.6052824651504,736,1.5
5.0,0.66015625,332.9207630227439,732,1.5
5.0,0.6640625,333.04695524578136,732,1.5
5.0,0.66796875,333.04695524578136,742,1.5
5.0,0.671875,333.04695524578136,745,1.5
5.0,0.67578125,333.04695524578136,746,1.5
5.0,0.6796875,333.04695524578136,747,1.5
5.0,0.68359375,333.04695524578136,753,1.5
5.0,0.6875,333.04695524578136,756,1.5
5.0,0.69140625,333.04695524578136,752,1.5
5.0,0.6953125,333.04695524578136,756,1.5
5.0,0.69921875,333.04695524578136,763,1.5
5.0,0.703125,333.04695524578136,764,1.5
5.0,0.70703125,333.04695524578136,767,1.5
5.0,0.7109375,333.04695524578136,768,1.5
5.0,0.71484375,333.04695524578136,772,1.5
5.0,0.71875,333.26779163609683,774,1.5
5.0,0.72265625,333.26779163609683,775,1.5
5.0,0.7265625,333.26779163609683,780,1.5
5.0,0.73046875,333.4886280264123,780,1.5
5.0,0.734375,333.4886280264123,784,1.5
5.0,0.73828125,333.4886280264123,779,1.5
5.0,0.7421875,333.4886280264123,784,1.5
5.0,0.74609375,333.4886280264123,787,1.5
5.0,0.75,333.4886280264123,792,1.5
5.0,0.75390625,333.4886280264123,788,1.5
5.0,0.7578125,333.4886280264123,792,1.5
5.0,0.76171875,333.7094644167278,793,1.5
5.0,0.765625,333.7094644167278,790,1.5
5.0,0.76953125,333.7094644167278,798,1.5
5.0,0.7734375,333.7094644167278,797,1.5
5.0,0.77734375,333.8356566397652,797,1.5
5.0,0.78125,333.8356566397652,800,1.5
5.0,0.78515625,334.0564930300807,810,1.5
5.0,0.7890625,334.0564930300807,813,1.5
5.0,0.79296875,334.0564930300807,814,1.5
5.0,0.796875,334.1826852531181,818,1.5
5.0,0.80078125,334.1826852531181,815,1.5
5.0,0.8046875,334.1826852531181,818,1.5
5.0,0.80859375,334.1826852531181,820,1.5
5.0,0.8125,334.1826852531181,823,1.5
5.0,0.81640625,334.1826852531181,823,1.5
5.0,0.8203125,334.1826852531181,823,1.5
5.0,0.82421875,334.1826852531181,825,1.5
5.0,0.828125,334.1826852531181,823,1.5
5.0,0.83203125,334.1826852531181,827,1.5
