duty_ratio_percent,corotation_mass_flow_kg_s,reversion_mass_flow_kg_s
3.5714285714285716,4.676328502415457e-05,2.705314009661836e-05
3.6401098901098905,4.676328502415457e-05,2.7246376811594164e-05
3.708791208791209,4.714975845410629e-05,2.7439613526570076e-05
3.777472527472528,4.714975845410629e-05,2.763285024154588e-05
3.8461538461538467,4.7536231884058e-05,2.7826086956521737e-05
3.914835164835165,4.7536231884058e-05,2.8019323671497594e-05
3.983516483516484,4.7922705314009664e-05,2.8212560386473397e-05
4.052197802197803,4.792270531400967e-05,2.8212560386473397e-05
4.120879120879121,4.830917874396138e-05,2.82125603864734e-05
4.18956043956044,4.830917874396138e-05,2.8599033816425112e-05
4.258241758241758,4.869565217391304e-05,2.8599033816425112e-05
4.3269230769230775,4.8695652173913046e-05,2.8599033816425116e-05
4.395604395604396,4.9082125603864754e-05,2.8985507246376827e-05
4.464285714285714,4.9468599033816415e-05,2.8599033816425112e-05
4.532967032967034,4.946859903381642e-05,2.898550724637683e-05
4.601648351648352,4.985507246376813e-05,2.9371980676328545e-05
4.670329670329671,4.985507246376813e-05,2.975845410628015e-05
4.739010989010989,5.024154589371979e-05,2.9371980676328542e-05
4.807692307692308,5.0628019323671505e-05,2.975845410628015e-05
4.876373626373627,5.0628019323671505e-05,2.975845410628015e-05
4.945054945054945,5.1014492753623166e-05,3.0144927536231863e-05
5.013736263736265,5.140096618357488e-05,3.0144927536231863e-05
5.082417582417583,5.140096618357488e-05,3.0144927536231863e-05
5.1510989010989015,5.140096618357488e-05,3.0144927536231863e-05
5.21978021978022,5.140096618357488e-05,3.0144927536231863e-05
5.288461538461539,5.140096618357489e-05,3.0531400966183585e-05
5.357142857142858,5.1687242798353934e-05,3.091787439613529e-05
5.425824175824176,5.197351941313297e-05,3.091787439613529e-05
5.4945054945054945,5.2259796027911965e-05,3.091787439613529e-05
5.563186813186814,5.254607264269102e-05,3.1304347826086954e-05
5.631868131868132,5.283234925747006e-05,3.1304347826086954e-05
5.700549450549451,5.311862587224905e-05,3.1304347826086954e-05
5.76923076923077,5.34049024870281e-05,3.091787439613529e-05
5.8379120879120885,5.36911791018072e-05,3.1175523349436364e-05
5.906593406593407,5.397745571658613e-05,3.1433172302737543e-05
5.975274725274725,5.426373233136518e-05,3.1690821256038614e-05
6.043956043956045,5.455000894614423e-05,3.1948470209339794e-05
6.112637362637363,5.483628556092322e-05,3.220611916264092e-05
6.181318681318682,5.512256217570232e-05,3.2463768115942044e-05
6.250000000000001,5.5408838790481315e-05,3.2721417069243115e-05
6.318681318681319,5.569511540526031e-05,3.2979066022544295e-05
6.387362637362638,5.5981392020039347e-05,3.323671497584542e-05
6.456043956043956,5.626766863481845e-05,3.323671497584542e-05
6.5247252747252755,5.6553945249597445e-05,3.2850241545893766e-05
6.593406593406594,5.684022186437644e-05,3.323671497584542e-05
6.662087912087912,5.7126498479155477e-05,3.323671497584542e-05
6.730769230769232,5.7412775093934475e-05,3.323671497584542e-05
6.79945054945055,5.7699051708713575e-05,3.3236714975845427e-05
6.868131868131869,5.798532832349262e-05,3.362318840579709e-05
6.936813186813187,5.8271604938271607e-05,3.4009661835748795e-05
7.005494505494506,5.8557881553050605e-05,3.439613526570051e-05
7.074175824175825,5.8844158167829705e-05,3.4396135265700503e-05
7.142857142857143,5.913043478260869e-05,3.4009661835748795e-05
7.211538461538463,5.8743961352657037e-05,3.400966183574888e-05
7.280219780219781,5.913043478260869e-05,4.0193236714975935e-05
7.348901098901099,5.913043478260869e-05,4.6376811594202994e-05
7.417582417582418,5.913043478260869e-05,5.256038647342992e-05
7.486263736263737,5.951690821256041e-05,5.874396135265697e-05
7.554945054945056,5.990338164251207e-05,5.426086956521728e-05
7.623626373626374,6.028985507246379e-05,4.9777777777777704e-05
7.692307692307693,6.067632850241544e-05,4.5294685990338126e-05
7.760989010989012,6.067632850241545e-05,4.0811594202898493e-05
7.82967032967033,6.106280193236716e-05,3.632850241545892e-05
7.898351648351649,6.067632850241544e-05,3.632850241545892e-05
7.967032967032968,6.106280193236717e-05,3.6328502415458915e-05
8.035714285714286,6.183574879227053e-05,3.594202898550726e-05
8.104395604395606,6.183574879227053e-05,3.632850241545892e-05
