scenario,sensor_count,sensor_nodes_1_based,node_1_rmse_C,node_2_rmse_C,node_3_rmse_C,node_4_rmse_C,node_5_rmse_C,mean_node_rmse_C,hotspot_rmse_C,maximum_absolute_error_C,q95_absolute_error_C,hotspot_position_accuracy
load_input_minus_10pct,2,"1,4",0.05680845684748332,0.14244136159508258,0.13714515484472356,0.05334092360360167,0.13186416501394455,0.11185611105840101,0.11385083585043823,0.3544752563029192,0.2373244108877416,0.6378018318068276
load_input_minus_10pct,2,"2,5",0.13358632968324055,0.059816856154022484,0.14445640361279521,0.15178893907463395,0.05551058946717031,0.11697206835097759,0.11717301154642251,0.6573606498192177,0.24376942409587354,0.6586178184845962
load_input_minus_10pct,2,"2,4",0.14351440550150785,0.059180655557358866,0.07795386785026465,0.05273185942784993,0.14161840091941288,0.10296791788625873,0.14247712243721428,0.48139010744122857,0.2284675395338113,0.9375520399666945
load_input_minus_10pct,2,"1,5",0.05728963439801951,0.19363037393970933,0.25409086557689936,0.1990370617077158,0.05599398629480482,0.17209768756466903,0.1577175126858958,0.5936050375479098,0.3648734145884362,0.2048293089092423
load_input_minus_10pct,2,"1,3",0.05614514409786575,0.08426239576674953,0.058637985897955616,0.2378160738991446,0.3505973094848465,0.19655319908824068,0.2772326845657482,0.6627801667801521,0.44162031855792083,0.704412989175687
load_input_minus_10pct,2,"3,5",0.3613193004288402,0.2451414515611721,0.05870930356590323,0.09308111943157923,0.05489594322297136,0.20286468881403383,0.28192826557199496,0.6610792974357764,0.44608257607309837,0.7069109075770191
load_input_minus_10pct,2,"2,3",0.146414640650393,0.058298739989806295,0.057306077737797396,0.2425515215373465,0.3561341919039017,0.20677658468501708,0.290618862053135,0.677417525396649,0.44972483861255075,0.8218151540383014
load_input_minus_10pct,2,"3,4",0.3602894213785232,0.24495130519015038,0.05740835890958273,0.05201868274488431,0.14314037215305006,0.20799059509456067,0.29117253311781743,0.6733481280964853,0.44921988580561845,0.8168193172356369
load_input_minus_10pct,2,"1,2",0.05525649298283663,0.059497215498139834,0.2793434488746698,0.45606986573376884,0.5465320807200621,0.3438962049178816,0.45059345704309567,0.9906283353340157,0.7958970375198277,0.607826810990841
load_input_minus_10pct,2,"4,5",0.5666288315366684,0.47005604369016485,0.2819455184508127,0.05328290837204631,0.05391102894725582,0.35419194222327915,0.4677151970861986,0.9840552394549675,0.7991751356942516,0.5761865112406328
load_input_minus_10pct,3,"1,3,5",0.05622830701585256,0.09420794371503809,0.056181349878332204,0.10091231323842217,0.05498631183743726,0.07536563234744287,0.06388993280616295,0.598801792901483,0.14795211456287805,0.601165695253955
load_input_minus_10pct,3,"1,4,5",0.05684753930180245,0.14645367776989113,0.1439905485863736,0.05178476376856859,0.053915932458105977,0.10099721785336012,0.08690708996894546,0.3096727511646833,0.2320423884468923,0.48542880932556204
load_input_minus_10pct,3,"1,2,5",0.05526107404622052,0.058128772514542154,0.15358163605046685,0.15665723570009088,0.05553910127466231,0.10737424337178665,0.08914840042887212,0.6663022586531042,0.24405679340314212,0.47793505412156534
load_input_minus_10pct,3,"1,2,4",0.05526261803937953,0.057457466143995585,0.0849796087727634,0.052785452695099724,0.1411033960934263,0.08517431969878203,0.10873381967725126,0.516724157458178,0.17274364088402908,0.8151540383014155
load_input_minus_10pct,3,"1,3,4",0.05623669115875818,0.09525437807700281,0.05480017384770813,0.052027034709053885,0.14350649954775793,0.08779515793268891,0.11174012892996098,0.5251429575589199,0.18138136256441442,0.742714404662781
load_input_minus_10pct,3,"2,4,5",0.1422885252116667,0.05923310864585864,0.08431106562412045,0.05112778190115648,0.053917659136385056,0.08530428524091577,0.11182466584903558,0.5248182964340273,0.18514375544201445,0.8484596169858452
load_input_minus_10pct,3,"2,3,5",0.14676794664484724,0.058307229357157354,0.05475363304749981,0.1020911688448729,0.054995793902773184,0.09097875311594654,0.11464814527800546,0.5988179416800037,0.1949444667572436,0.7552039966694422
load_input_minus_10pct,3,"2,3,4",0.14692018244993865,0.05830800827943693,0.05330174569251247,0.052026499228926354,0.14364050694267153,0.10115907452252867,0.14466959056628548,0.37550585289737626,0.23225313963472874,0.93255620316403
load_input_minus_10pct,3,"1,2,3",0.05526107552949444,0.05650659637120762,0.057312433812424145,0.24277050969865172,0.3563628934891085,0.19771875439973383,0.28238746824938676,0.6779735122473838,0.45016428710375195,0.7152373022481265
load_input_minus_10pct,3,"3,4,5",0.3605150846088371,0.24516864267090888,0.05741552947361134,0.05045387601414836,0.05391561464220927,0.19941304857578718,0.28363463517349097,0.6738307840143847,0.4496261230785877,0.7069109075770191
measurement_noise,1,4,0.07274562096793957,0.056667986360605535,0.04749421591139996,0.08034353614253183,0.05660582659312857,0.06390334889095133,0.0549043676625081,0.3150605168339169,0.13581481139703871,0.8800999167360533
measurement_noise,1,5,0.07210710168678383,0.05052029877314356,0.03162429687862819,0.03695788452946351,0.07532173569924754,0.05619800699758655,0.06039825260796929,0.3007902177386015,0.12648098072386352,0.8992506244796004
measurement_noise,1,3,0.06248142241036453,0.05451907749045293,0.0772852880614722,0.06350497071463308,0.08729516921101321,0.07000371644509018,0.07488130998911846,0.465962685754441,0.15649618570246135,0.8692756036636137
measurement_noise,1,2,0.06658687442368685,0.08167252651288194,0.04507247871275776,0.058313485856666396,0.07974994586443877,0.0676701681215021,0.07839826005516938,0.4347524656006527,0.14721762019108273,0.8825978351373855
measurement_noise,1,1,0.08052861185001413,0.05746036077616897,0.03310838766701225,0.05244372205997394,0.07615973480065864,0.06234318713273708,0.0834036898853292,0.45350849364407253,0.12990627287939,0.8792672772689425
measurement_noise,2,"4,5",0.06844837952650053,0.05404189587289493,0.049391841500010844,0.07744166146636387,0.07296867522189128,0.06537109402543549,0.05141180213088309,0.31807810445452134,0.13755073457041078,0.8084929225645295
measurement_noise,2,"3,5",0.05536878131701972,0.05338895477509795,0.07623542362093386,0.04034148170291993,0.07483887550739121,0.06157306989970611,0.053546316540419456,0.4600447573301736,0.12652272406036788,0.8442964196502915
measurement_noise,2,"3,4",0.05731795165046425,0.05660990829966595,0.0745646685649557,0.07789388425225464,0.05897306376339391,0.06571940132236176,0.05433381532909527,0.49101286275120515,0.12895220462464893,0.8251457119067444
measurement_noise,2,"2,4",0.06367151331910104,0.08086112823039741,0.040040696413724014,0.07970994290694623,0.05729801671816334,0.06607961675796374,0.06150089035255784,0.42853221145931286,0.13090194374014885,0.8343047460449625
measurement_noise,2,"2,5",0.06597174956582508,0.0811764316478346,0.032761801658712994,0.03334236015609738,0.07494699777310591,0.0612274217973568,0.062981125866186,0.4322817648009831,0.1259837277631377,0.8343047460449625
measurement_noise,2,"1,4",0.0800455816601192,0.059829357929311947,0.04534964437311679,0.08020452581735045,0.05718631707564458,0.06594918995798339,0.0699655812396367,0.4755751089340663,0.13030117543347616,0.8168193172356369
measurement_noise,2,"1,5",0.08018229212426174,0.0560804831576289,0.027479699909826787,0.034664584368167314,0.07510915493153456,0.05860439067608285,0.07204278851642054,0.4590493059939007,0.12122954285873533,0.8442964196502915
measurement_noise,2,"2,3",0.07162723046280335,0.07953998186796692,0.07567984375436489,0.05659858607549856,0.07383975521877843,0.07188910488596706,0.07395862730713874,0.46210261427287236,0.14727619963046265,0.8184845961698585
measurement_noise,2,"1,2",0.07818063993140911,0.07881498336790947,0.04496663915420124,0.045395668826746095,0.06712354900758208,0.06467201911150373,0.07897008271345247,0.3884663836094333,0.13774175442173095,0.791007493755204
