object_index,noise_seed,C_th_scale,K_cool_scale,K_node_scale,load_input_scale,coolant_offset_C,single_hotspot_rmse_C,single_mean_node_rmse_C,single_maximum_absolute_error_C,single_q95_absolute_error_C,single_hotspot_position_accuracy,bank_hotspot_rmse_C,bank_mean_node_rmse_C,bank_maximum_absolute_error_C,bank_q95_absolute_error_C,bank_hotspot_position_accuracy,hotspot_improvement_percent
2,1,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.33457631618456685,0.46524451443037373,1.069272100378953,0.9269167790092226,0.9180327868852459,0.3138239675430849,0.34830034067663446,0.9444921339813916,0.7210566706249779,0.45901639344262296,6.202575507476763
2,2,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3339762627680328,0.4589512698445607,1.0600268027541304,0.9275334306006856,0.9180327868852459,0.2957038915837557,0.3487256664968364,0.9633145284174063,0.7463829064325765,0.47540983606557374,11.459608197023167
2,3,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3129653173179079,0.4385909854038681,1.026940914108657,0.8912440793567385,0.8852459016393442,0.3230563203452074,0.3516235802566781,0.8766678251796236,0.7404450079868937,0.4098360655737705,-3.224319906684475
2,4,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3461516198185737,0.47051519678046116,1.0882155953970596,0.9572421543118113,0.9180327868852459,0.3030930143093685,0.3472712364632329,0.9970941749355973,0.7180846066959363,0.4918032786885246,12.439232707266601
2,5,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.31212140238040753,0.43892613265783503,1.0271033570013302,0.8958722241658649,0.9344262295081968,0.32500840621516175,0.37507267213363077,0.9297896323645389,0.7815139155948828,0.47540983606557374,-4.128843371992731
2,6,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.32412574771797464,0.45248453217254114,1.050397754291339,0.9297368423920744,0.8852459016393442,0.28394431106944334,0.3224615129501154,0.9143591572392111,0.6871705200098337,0.5409836065573771,12.396866627051674
2,7,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3343722384823537,0.46274265856681185,1.0991406105805055,0.9619208103830332,0.9016393442622951,0.2967685869455119,0.3315069690958806,1.0004451104503573,0.6597426367221872,0.5081967213114754,11.246044739693998
2,8,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3110741519491149,0.4420938499060841,1.032187957374866,0.8996544561094241,0.9180327868852459,0.32539338335660495,0.3520960099810458,0.8507498708961378,0.726182890609265,0.4918032786885246,-4.603156937909888
2,9,0.9751992740438735,0.8798156011180694,1.0859985260783223,1.029465434756251,-0.30409655213179354,0.3275898635589024,0.45195732878828115,1.027335825060483,0.9178938134049702,0.8852459016393442,0.31552941314960664,0.35098403745597107,0.9112803129612104,0.7594154535974157,0.4098360655737705,3.6815700822584305
3,0,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.05976125013315209,0.0568698268636196,0.25,0.11314630908979809,0.9180327868852459,0.05675523149940939,0.04941582716875808,0.25,0.09241369063854141,0.9180327868852459,5.030046438193787
3,1,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06407603524260047,0.0570920056499726,0.25,0.11244107023505165,0.8852459016393442,0.06762364067781221,0.055378873567133,0.25,0.11261392767146818,0.8360655737704918,-5.536555783734163
3,2,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.06461586230543583,0.06646992612210634,0.25,0.12798092133861733,0.9016393442622951,0.06634225216587845,0.06051370882152891,0.25,0.10955733198235863,0.8688524590163934,-2.671774079686615
3,3,1.068384984866736,0.9964038772377258,1.015115172182075,0.9550283852769615,1.4669276858965157,0.07242092271128192,0.06210045150724262,0.28836524458942137,0.11691924830045226,0.8852459016393442,0.07266991676989558,0.05914201888844705,0.288337349141905,0.11410380078924624,0.8524590163934426,-0.3438150872591258
